id,name,artist,mood
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,romantic
5bQ6oDLqvw8tywmnSmwEyL,Apna Bana Le,Sachin-Jigar,romantic
12TuIypC6Im9HYL2zNd4HD,Love Mashup 2024,Arijit Singh,romantic
42WGQxg2lPIFBt8ZRHQ4Q4,Romantic Mashup 2,Mithoon,romantic
1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,Sachin-Jigar,romantic
2DzEnsDbTLHwPuIMAB2z0P,Feelinga,Garry Sandhu,romantic
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,Eyedress,romantic
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,romantic
62o3C7mPRsGv5671ekImkl,Romantic Mashup,Raj Barman,romantic
0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,Vishal Mishra,romantic
6fW78cd0p3ZDUzoqvx2Xqe,Muskurane - Romantic,Jeet Gannguli,romantic
1smFN2CLqGROu0J0UyvDfL,Shayad,Pritam,romantic
6q1QIBUfxyZJhygVIiG6c9,Wajah Tum Ho,Armaan Malik,romantic
64795RjPIb87Aa8clGWyc5,Romantic - LoFi Flip,Dj Vicky Belgaum,romantic
48Ix6ReYdJf2H4mKb3TIpj,Tera Hone Laga Hoon,Atif Aslam,romantic
5XD2tP1DRH2NJgp45HiEQA,Bol Do Na Zara,Armaan Malik,romantic
4byiHL0b9mIoCUCjbjI4eA,"Gazab Ka Hai Din (From ""Dil Juunglee"")",Jubin Nautiyal,romantic
1im9BMeeKze7rkBPIEpCUr,Jab Tak,Armaan Malik,romantic
32SDVo3sSMGPL0IzRA6YTX,Aaj Phir,Arijit Singh,romantic
6Ol9idNgQJUgdZSNFSibzy,Romantic Rewind,Akhil,romantic
0SCLsDJtC7DmOwks1tsszt,Romantic Homicide,d4vd,romantic
2abBhEnDgtTlbwnUMHOoTE,Romantic Mashup,Miss Pooja,romantic
5vGiuYFSGekGLgbxhV1rD5,Tu Jaane Na,Atif Aslam,romantic
1uwCYPAgiy5d7lPJvf0gf8,Ijazat,Meet Bros.,romantic
7H7qPPRh373hwSQG1K55Rc,Romantic Mashup(Remix By Dj Chetas),Falak Shabbir,romantic
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,Javed-Mohsin,romantic
2PE6wRG56ez4yiV9oXB0rF,Romantic Love Mashup (Best of love music),Abhishek Rawal,romantic
60Rye3rM3e57fnZKkLlKQH,Chosen,Sidhu Moose Wala,romantic
5QtEFRYavs5S3GHtFEq7A4,Tujhe Kitna Chahne Lage,Arijit Singh,romantic
3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,Akhil Sachdeva,romantic
3lT4SlZVvqLhMeiuBv7gHW,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]",Jubin Nautiyal,romantic
6FjbAnaPRPwiP3sciEYctO,Raabta,Pritam,romantic
1jxFiDfEZLpShXjLt35ogg,Jazbaat 2,Amantej Hundal,romantic
79hQvdTHNBkq2fp2ZrM8b2,Pal,Javed-Mohsin,romantic
16YZbdkJtyvsjV8UKOwQBB,Romantic Sunday,"Car, the garden",romantic
4gkqGoKI311ayrtcvYaFTz,"Bawara Mann (From ""Jolly Ll.B 2"")",Jubin Nautiyal,romantic
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,romantic
6OGgPVxqijHJ5tQlZXkEfW,Romantic Homicide - Live Version,d4vd,romantic
6R6BpMBFQrF7n2uEOxYmss,"Kabhii Tumhhe (From ""Shershaah"")",Javed-Mohsin,romantic
4Izua7XOcXRyWmOGWDDppr,Sab Tera,Armaan Malik,romantic
5lTTuESHokJHpSsEvvSR64,Romantico Ma Muori,Pinguini Tattici Nucleari,romantic
2VrNpMt23IX5ZfROWM7wAi,Malai Mangum Neram,Ranina Reddy,romantic
7IBSffWIu7P2MC7kMwy2FM,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,romantic
5llaVhaIoowKT3fqf2NfPO,Pehli Nazar Mein,Atif Aslam,romantic
6iXO4A5u0CRLNre9lSxntL,Romantic,Yusuke Honma,romantic
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),Taylor Swift,romantic
3JUmNYQyJKeRq2a3RR8K71,"Ijazat (From ""One Night Stand"")",Meet Bros.,romantic
0FAkF04YFGK1DN0dATMcX2,Romantic,the chamo,romantic
5HRkeHARMglmn1uKfyYvNt,Romantic Mashup 3,Raj Barman,romantic
018eOid2aGaPdxon7T6GsC,"Shayad (From ""Love Aaj Kal"")",Pritam,romantic
6rPDrn83Edjzk3MCwRIoBI,Lofi Lovee,Ved Sharma,lofi
